GeoCode,Province,City,tract,x,description,description2,y,amount2011
9330059.11,British Columbia,Vancouver,59.11,38.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1463
9330059.12,British Columbia,Vancouver,59.12,33.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1581
9330060.01,British Columbia,Vancouver,60.01,34.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1126
9330060.02,British Columbia,Vancouver,60.02,30.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1055
9330061.00,British Columbia,Vancouver,61,33.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1095
9330062.00,British Columbia,Vancouver,62,27.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1253
9330063.00,British Columbia,Vancouver,63,31.4,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1065
9330064.00,British Columbia,Vancouver,64,31.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1061
9330065.00,British Columbia,Vancouver,65,29.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1108
9330066.00,British Columbia,Vancouver,66,42.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1646
9330067.01,British Columbia,Vancouver,67.01,35.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,943
9330067.02,British Columbia,Vancouver,67.02,31.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1470
9330068.00,British Columbia,Vancouver,68,25.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1033
9330069.00,British Columbia,Vancouver,69,23.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1314
9330100.01,British Columbia,Vancouver,100.01,27.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1166
9330100.02,British Columbia,Vancouver,100.02,24.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1138
9330101.03,British Columbia,Vancouver,101.03,31.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1037
9330101.04,British Columbia,Vancouver,101.04,35.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1121
9330101.05,British Columbia,Vancouver,101.05,28.4,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1153
9330101.06,British Columbia,Vancouver,101.06,28,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1088
9330102.00,British Columbia,Vancouver,102,30.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1268
9330103.00,British Columbia,Vancouver,103,33.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1082
